Level,week ,Clip,Grammar/Content,Pre-requisistes
110,Unit int.,Master of None,"Greetings, italian words",N/A
110,Unit int.,Baaria,Singular and plural,N/A
110,Unit int.,I cento passi 1-10,Numbers,"Singular/plural, subject pronouns, essere"
110,Unit 2,Benvenuti al Sud,Irregular verbs,"Regular verbs, modal verbs"
110,Unit 2,I cento passi 90-100,,"Numbers, descriptions"
110,Unit 4,Le fate ignoranti,Le bibite,Some food/drink vocabulary
110,Unit 4 Dieci,Viaggio sola,hotel,
120,Ripasso,Le compere,Essere/avere,
120,Ripasso,"Asia Occidente, Mahmood","passatoprossimo, futuro",N/A
120,Unit 6,Mettici la salsa,Food vocabulary,"Cooking, recipes"
120,Unit 6,La vita è bella,"Food vocabulary, prepositions",
120,Unit 7,Le fate ignoranti,Imperfetto,Passato prossimo
120,Unit 8,Patrizia Cavalli,Objects,"Direct and indirect objects, agreements"
120,Unit 8/9,Sorelle,Pronouns,"Pronouns: direct, indirect, reflexive, ci/ne"
120,Unit 9,Le compere,Fare compere,"Clothing descriptions, colors, styles"
130,Week 2-3,Sotto il sole di Riccione,Slang,
130,Week 4,Sorelle,Pronomi doppi,"Pronouns: direct, indirect, reflexive"
130+,Week 13-14?,Prisencolinensinainciusol ,Poesia,
140+,Week 12-13,Benjamin Button,"Type 3, hypothetical period","Periodo ipotetico (1, 2, 3) + condizionale"
